Country,Date,General cpi,Food and non-alcoholic beverages  CPI,,general avg,food avg
Albania,2022M01,3.73,6.69,,5.593333333,9.458333333
Algeria,2022M01,9.03,13.27,,9.645,14.41166667
Argentina,2022M01,50.69,50.51,,47.32,50.75166667
Armenia,2022M01,7.08,12.18,,8.111666667,13.705
Australia,2022M03,5.09,4.78,,5.985,5.706666667
Austria,2022M01,4.99,4.92,,6.848333333,7.293333333
Azerbaijan,2022M01,12.46,17.52,,12.89333333,18.96
Bahrain,2022M01,3,9.45,,3.843333333,9.843333333
Bangladesh,2022M01,5.86,5.6,,7.06,7.541666667
Belarus,2022M01,10.39,12.55,,14.59833333,16.45666667
Belgium,2022M01,7.59,2.38,,8.478333333,5.281666667
Belize,2022M01,4.1,,,4.455,7.313333333
Benin,2022M01,7.91,15.46,,3.32,4.095
Bhutan,2022M01,6.03,5.43,,5.866666667,4.57
Bolivia,2022M01,0.74,0.22,,1.046666667,0.475
Bosnia and Herzegovina,2022M01,6.98,11.86,,11.44166667,17.78333333
Botswana,2022M01,10.57,7.07,,9.73,5.16
Brazil,2022M01,10.38,,,11.32833333,#DIV/0!
Brunei Darussalam,2022M01,2.85,2.5,,5.475,6.315
Bulgaria,2022M01,9.1,11.18,,13.05833333,18.335
Burundi,2022M01,12.21,14.37,,14.835,18.10666667
Cambodia,2022M01,4.1,3.65,,6.646666667,5.578333333
Cameroon,2022M01,4.13,9.03,,5.116666667,8.328333333
Canada,2022M01,5.14,6.46,,6.686666667,7.7775
Cape Verde,2022M01,6.64,9.98,,6.461666667,9.735
Chad,2022M01,1.96,5.93,,8.158333333,10.9
Chile,2022M01,7.7,5.96,,9.913333333,12.99
China,2022M01,0.99,,,1.706666667,#DIV/0!
Colombia,2022M01,6.94,19.94,,8.575,23.33666667
Congo,2022M01,1.65,3.92,,3.67,5.631666667
Costa Rica,2022M01,3.5,3.25,,6.356666667,6.505
Croatia,2022M01,5.67,9.44,,7.621666667,7.116666667
Cyprus,2022M01,5.4,3.52,,8.8,6.828333333
